orderid, regionid, systemid, stationid, typeid, bid, price, minvolume, volremain, volenter, issued, duration, range, reportedby, reportedtime
898650444 , 10000064 , 30004969 , 60011740 , 25936 , 0 , 3896800.01 , 1 , 8 , 10 , 2008-10-28 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:03:25.73 ,
899560859 , 10000064 , 30004969 , 60011740 , 25936 , 0 , 3897999.0 , 1 , 3 , 3 , 2008-10-28 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:03:25.73 ,
899884978 , 10000064 , 30004969 , 60011740 , 25936 , 0 , 3898000.0 , 1 , 1 , 1 , 2008-10-28 00:00:00.00 , 30:00:00:00.00 , 32767 , 0 , 2008-10-29 00:03:25.73 ,
899036354 , 10000064 , 30004969 , 60011740 , 25936 , 0 , 3899799.99 , 1 , 7 , 10 , 2008-10-28 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:03:25.74 ,
899451540 , 10000064 , 30005027 , 60011959 , 25936 , 0 , 3899899.99 , 1 , 2 , 2 , 2008-10-27 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:03:25.74 ,
898154711 , 10000064 , 30004969 , 60011740 , 25936 , 0 , 3900000.0 , 1 , 7 , 9 , 2008-10-26 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:03:25.74 ,
900023023 , 10000064 , 30004993 , 60015144 , 25936 , 0 , 4250000.0 , 1 , 2 , 3 , 2008-10-28 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:03:25.74 ,
887351581 , 10000064 , 30004969 , 60011740 , 25936 , 0 , 4586000.0 , 1 , 2 , 10 , 2008-10-16 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:03:25.74 ,
879971023 , 10000064 , 30005008 , 60011971 , 25936 , 0 , 4999999.99 , 1 , 2 , 10 , 2008-10-06 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:03:25.75 ,
862385325 , 10000064 , 30004969 , 60011740 , 25936 , 0 , 5078998.0 , 1 , 8 , 21 , 2008-09-18 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:03:25.75 ,
856651734 , 10000064 , 30004969 , 60011740 , 25936 , 1 , 2500000.0099 , 1 , 4 , 5 , 2008-09-22 00:00:00.00 , 90:00:00:00.00 , -1 , 0 , 2008-10-29 00:03:25.75 ,
894061638 , 10000064 , 30005021 , 60005230 , 37 , 0 , 63.0 , 1 , 469 , 669 , 2008-10-22 00:00:00.00 , 7:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.88 ,
897605038 , 10000064 , 30005018 , 60010210 , 37 , 0 , 63.0 , 1 , 334 , 334 , 2008-10-26 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.88 ,
896278657 , 10000064 , 30005022 , 60010378 , 37 , 0 , 63.68 , 1 , 40685 , 40685 , 2008-10-24 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.88 ,
899299366 , 10000064 , 30005011 , 60010156 , 37 , 0 , 63.75 , 1 , 83304 , 83304 , 2008-10-27 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.88 ,
878994169 , 10000064 , 30004988 , 60011359 , 37 , 0 , 65.33 , 1 , 500711 , 500711 , 2008-10-05 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.88 ,
884593570 , 10000064 , 30005009 , 60014713 , 37 , 0 , 66.99 , 1 , 431644 , 453054 , 2008-10-11 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.89 ,
897217710 , 10000064 , 30004973 , 60001408 , 37 , 0 , 67.0 , 1 , 112471 , 500000 , 2008-10-25 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.89 ,
839444243 , 10000064 , 30005009 , 60014713 , 37 , 0 , 67.87 , 1 , 363814 , 514814 , 2008-10-26 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.89 ,
887388330 , 10000064 , 30005004 , 60010447 , 37 , 0 , 74.97 , 1 , 1155 , 1160 , 2008-10-14 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.89 ,
899808971 , 10000064 , 30004969 , 60011740 , 37 , 0 , 74.99 , 1 , 757635 , 757635 , 2008-10-28 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.89 ,
895859907 , 10000064 , 30004969 , 60011737 , 37 , 0 , 75.0 , 1 , 17823 , 82523 , 2008-10-24 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.89 ,
900012917 , 10000064 , 30004969 , 60011740 , 37 , 0 , 75.0 , 1 , 95479 , 95479 , 2008-10-28 00:00:00.00 , 7:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.90 ,
895253932 , 10000064 , 30004970 , 60010786 , 37 , 0 , 79.45 , 1 , 182836 , 182836 , 2008-10-23 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.90 ,
880839051 , 10000064 , 30004971 , 60014689 , 37 , 0 , 79.98 , 1 , 191955 , 231963 , 2008-10-22 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.90 ,
887196718 , 10000064 , 30004972 , 60011734 , 37 , 0 , 79.98 , 1 , 406241 , 545614 , 2008-10-24 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.90 ,
855917961 , 10000064 , 30004967 , 60011749 , 37 , 0 , 79.99 , 1 , 386307 , 788898 , 2008-09-11 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.90 ,
846474153 , 10000064 , 30004967 , 60012007 , 37 , 0 , 80.0 , 1 , 11126 , 155369 , 2008-09-01 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.91 ,
899458277 , 10000064 , 30004972 , 60011734 , 37 , 0 , 80.0 , 1 , 9 , 9 , 2008-10-27 00:00:00.00 , 3:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.91 ,
892664004 , 10000064 , 30004970 , 60012010 , 37 , 0 , 82.0 , 1 , 38623 , 39626 , 2008-10-20 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.91 ,
877628020 , 10000064 , 30004968 , 60011746 , 37 , 0 , 84.99 , 1 , 46993 , 53194 , 2008-10-26 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.91 ,
898688441 , 10000064 , 30004969 , 60011740 , 37 , 0 , 99.95 , 1 , 9982399 , 10000000 , 2008-10-27 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.91 ,
